form	segmentation	root	note	source
pikayasan	pi- + kayas + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pikun	piku + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pindangan	pindang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pinduan	pindu + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pinggan	pingga + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pirayanan	piraya + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pisingan	pi- + sing + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pititian	pi- + titi + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pitsun	pitsu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
piyalungan	piyalung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
platun	platu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
presion	presio + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pukian	puki + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pulun	pulu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
puntian	punti + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
pusan	pusa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
saban	saba + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sabian	sabi + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
salin	sali + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sangkapan	sangkap + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sanipan	sanip + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
santingan	santing + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sapin	sapi + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sapingilan	sapingil + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
saria	s + -ar- + ia	ia		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sarili	s + -ar- + ili	ili		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sasagan	sasag + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sauilan	sauil + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
saupan	saup + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
silaban	silab + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sinsinan	sinsin + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sipan	sipa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sitsarun	sitsaru + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
siualan	siuala + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sulatan	sulat + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sulsulan	sulsul + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sulukan	suluk + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
suman	suma + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sumang	s + -um- + ang	ang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
sumanga	s + -um- + anga	anga		demoted from roots.tsv: decomposes into a licensed affix plus another headword
susun	susu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tabtaban	tabtab + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tabun	tabu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tagan	tag + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tagun	tagu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
talan	tal + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tampan	tampa + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tangan	tang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tanggian	tanggi + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tangnan	tang + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tantuan	tantu + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tarang	t + -ar- + ang	ang		demoted from roots.tsv: decomposes into a licensed affix plus another headword
taras	t + -ar- + as	as		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tarima	t + -ar- + ima	ima		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tarundun	t + -ar- + undun	undun		demoted from roots.tsv: decomposes into a licensed affix plus another headword
terakan	terak + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tikan	tika + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
timan	tima + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
timbulan	timbul + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
timpukan	timpuk + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tinan	tin + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tukupan	tukup + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
tulandungan	tulandung + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
