variant	canonical	note	source
balisoso	balisaso	original dictionary spelling	merged from candidate lexicon
balisubas	balasubas	original dictionary spelling	merged from candidate lexicon
balisusû	balisusu	original dictionary spelling	merged from candidate lexicon
balitcayû	balitkayu	original dictionary spelling	merged from candidate lexicon
balruit	balic-kuit	original dictionary spelling	merged from candidate lexicon
balugbugan	balimbingan	original dictionary spelling	merged from candidate lexicon
balunğus	balungus	original dictionary spelling	merged from candidate lexicon
baluq	balu	PALI orthography / attested surface form	annotated
baly	bayung	original dictionary spelling	merged from candidate lexicon
balâ	bala	original dictionary spelling	merged from candidate lexicon
balî	bali	original dictionary spelling	merged from candidate lexicon
balû	balu	original dictionary spelling	merged from candidate lexicon
banacal	banakal	original dictionary spelling	merged from candidate lexicon
banca-banca	banka-banka	original dictionary spelling	merged from candidate lexicon
bancal	bankal	original dictionary spelling	merged from candidate lexicon
banco	banko	original dictionary spelling	merged from candidate lexicon
bandehadu	bandeha	original dictionary spelling	merged from candidate lexicon
bandila	bandera	original dictionary spelling	merged from candidate lexicon
bangcac	bangkac	original dictionary spelling	merged from candidate lexicon
bangcala	bangkala	original dictionary spelling	merged from candidate lexicon
bangcat	bangkat	original dictionary spelling	merged from candidate lexicon
bangco	bangko	original dictionary spelling	merged from candidate lexicon
bangcu	bangku	original dictionary spelling	merged from candidate lexicon
bangcuang	bangkuang	original dictionary spelling	merged from candidate lexicon
bangcud	bangkud	original dictionary spelling	merged from candidate lexicon
bangculala	bangkulala	original dictionary spelling	merged from candidate lexicon
bangculung	bangkulung	original dictionary spelling	merged from candidate lexicon
bangcuro	bangkuro	original dictionary spelling	merged from candidate lexicon
bangcâ	bangka	original dictionary spelling	merged from candidate lexicon
bangkal	bankal	original dictionary spelling	merged from candidate lexicon
bangko	banko	original dictionary spelling	merged from candidate lexicon
bangli	banli	original dictionary spelling	merged from candidate lexicon
bangs	banas	original dictionary spelling	merged from candidate lexicon
bangso	banso	original dictionary spelling	merged from candidate lexicon
baninuyû	baninuyu	original dictionary spelling	merged from candidate lexicon
bankete	bangketi	original dictionary spelling	merged from candidate lexicon
bano	banio	original dictionary spelling	merged from candidate lexicon
bansali	bangsali	original dictionary spelling	merged from candidate lexicon
bantalâ	bantala	original dictionary spelling	merged from candidate lexicon
banticul	bantikul	original dictionary spelling	merged from candidate lexicon
bantut	bangtut	original dictionary spelling	merged from candidate lexicon
banus	banos	original dictionary spelling	merged from candidate lexicon
banâ	bana	original dictionary spelling	merged from candidate lexicon
banğit	bangit	original dictionary spelling	merged from candidate lexicon
banğo	bango	original dictionary spelling	merged from candidate lexicon
banğun	bangun	original dictionary spelling	merged from candidate lexicon
banğunğut	bangungut	original dictionary spelling	merged from candidate lexicon
banğus	bangus	original dictionary spelling	merged from candidate lexicon
bapû	bapu	original dictionary spelling	merged from candidate lexicon
barac	barag	original dictionary spelling	merged from candidate lexicon
baracu	baraku	original dictionary spelling	merged from candidate lexicon
baradap	barada	original dictionary spelling	merged from candidate lexicon
barandillas	barandilyas	original dictionary spelling	merged from candidate lexicon
baraquiliu	barakiliu	original dictionary spelling	merged from candidate lexicon
barcada	barkada	original dictionary spelling	merged from candidate lexicon
barco	barko	original dictionary spelling	merged from candidate lexicon
bascal	baskal	original dictionary spelling	merged from candidate lexicon
baseball	basebaly	original dictionary spelling	merged from candidate lexicon
basi	base	original dictionary spelling	merged from candidate lexicon
basâ	basa	original dictionary spelling	merged from candidate lexicon
bat	bayi	original dictionary spelling	merged from candidate lexicon
batanglauâ	batanglaua	original dictionary spelling	merged from candidate lexicon
baticuling	batikuling	original dictionary spelling	merged from candidate lexicon
batió	batio	original dictionary spelling	merged from candidate lexicon
batsui	bachoy	original dictionary spelling	merged from candidate lexicon
batulalanğan	batulalangan	original dictionary spelling	merged from candidate lexicon
batutâ	batuta	original dictionary spelling	merged from candidate lexicon
batâ	bata	original dictionary spelling	merged from candidate lexicon
batû	batu	original dictionary spelling	merged from candidate lexicon
bau	bauo	original dictionary spelling	merged from candidate lexicon
bauâ	baua	original dictionary spelling	merged from candidate lexicon
bauî	baui	original dictionary spelling	merged from candidate lexicon
bayucyuc	bayukiuc	original dictionary spelling	merged from candidate lexicon
bañaba	banaba	original dictionary spelling	merged from candidate lexicon
bañas	banas	original dictionary spelling	merged from candidate lexicon
baños	banos	original dictionary spelling	merged from candidate lexicon
becut	bekut	original dictionary spelling	merged from candidate lexicon
belecua	belekua	original dictionary spelling	merged from candidate lexicon
bendición	bendision	original dictionary spelling	merged from candidate lexicon
beneficio	benefisio	original dictionary spelling	merged from candidate lexicon
biabas	bayabas	original dictionary spelling	merged from candidate lexicon
biacus	biakus	original dictionary spelling	merged from candidate lexicon
bibmgca	bibmgka	original dictionary spelling	merged from candidate lexicon
bic-cual	bic-kual	original dictionary spelling	merged from candidate lexicon
bical	bikal	original dictionary spelling	merged from candidate lexicon
bican	bikan	original dictionary spelling	merged from candidate lexicon
bicang	bikang	original dictionary spelling	merged from candidate lexicon
bicas-bicas	bikas-bikas	original dictionary spelling	merged from candidate lexicon
bichobkho	bitsubitsu	original dictionary spelling	merged from candidate lexicon
bichuelas	bitsuelas	original dictionary spelling	merged from candidate lexicon
bicicleta	bisicleta	original dictionary spelling	merged from candidate lexicon
bico	biko	original dictionary spelling	merged from candidate lexicon
bicol	bikol	original dictionary spelling	merged from candidate lexicon
bicus	bikus	original dictionary spelling	merged from candidate lexicon
bigâ	biga	original dictionary spelling	merged from candidate lexicon
binticuhul	bintikuhul	original dictionary spelling	merged from candidate lexicon
bire	biray	original dictionary spelling	merged from candidate lexicon
biredol	birador	original dictionary spelling	merged from candidate lexicon
biscocho	biskocho	original dictionary spelling	merged from candidate lexicon
bisero	biseru	original dictionary spelling	merged from candidate lexicon
biskotsu	biskocho	original dictionary spelling	merged from candidate lexicon
bisuguq	bisugu	PALI orthography / attested surface form	annotated
bisâ	bisa	original dictionary spelling	merged from candidate lexicon
bitaug	bitaog	original dictionary spelling	merged from candidate lexicon
bite	bitay	original dictionary spelling	merged from candidate lexicon
bituca	bituka	original dictionary spelling	merged from candidate lexicon
bitunğul	bitungul	original dictionary spelling	merged from candidate lexicon
biâ	bia	original dictionary spelling	merged from candidate lexicon
blancu	blanku	original dictionary spelling	merged from candidate lexicon
bocaypato	bokaypato	original dictionary spelling	merged from candidate lexicon
botica	botika	original dictionary spelling	merged from candidate lexicon
boticario	botikario	original dictionary spelling	merged from candidate lexicon
brocha	brotsa	original dictionary spelling	merged from candidate lexicon
bubû	bubu	original dictionary spelling	merged from candidate lexicon
bucaca	bukaka	original dictionary spelling	merged from candidate lexicon
bucadcad	bukadkad	original dictionary spelling	merged from candidate lexicon
bucal	bukal	original dictionary spelling	merged from candidate lexicon
bucalcal	bukalkal	original dictionary spelling	merged from candidate lexicon
bucang	bukang	original dictionary spelling	merged from candidate lexicon
bucas	bukas	original dictionary spelling	merged from candidate lexicon
bucayû	bukayu	original dictionary spelling	merged from candidate lexicon
bucbucan	bucbukan	original dictionary spelling	merged from candidate lexicon
bucut	bukut	original dictionary spelling	merged from candidate lexicon
budbud	bubud	original dictionary spelling	merged from candidate lexicon
bugaq	buga	PALI orthography / attested surface form	annotated
bugka	bugha	original dictionary spelling	merged from candidate lexicon
bugâ	buga	original dictionary spelling	merged from candidate lexicon
bulacus	bulakus	original dictionary spelling	merged from candidate lexicon
bulagtâ	bulagta	original dictionary spelling	merged from candidate lexicon
bulalaco	bulalako	original dictionary spelling	merged from candidate lexicon
bulanğisnğis	bulangisngis	original dictionary spelling	merged from candidate lexicon
bulio	buyo	original dictionary spelling	merged from candidate lexicon
bulldog	bulydog	original dictionary spelling	merged from candidate lexicon
bulâ	bula	original dictionary spelling	merged from candidate lexicon
bulû	bulu	original dictionary spelling	merged from candidate lexicon
bungû	bungu	original dictionary spelling	merged from candidate lexicon
bunsu	bungsu	original dictionary spelling	merged from candidate lexicon
bunsul	bungsul	original dictionary spelling	merged from candidate lexicon
buntun	bungtun	original dictionary spelling	merged from candidate lexicon
bunği	bungi	original dictionary spelling	merged from candidate lexicon
bunğil	bungil	original dictionary spelling	merged from candidate lexicon
bunğit	bungit	original dictionary spelling	merged from candidate lexicon
bunğut	bungut	original dictionary spelling	merged from candidate lexicon
burumburung	borungborung	original dictionary spelling	merged from candidate lexicon
buscaraidul	buskaraidul	original dictionary spelling	merged from candidate lexicon
buscâ	buska	original dictionary spelling	merged from candidate lexicon
buskaraidor	buskaraidul	original dictionary spelling	merged from candidate lexicon
busni	busngi	original dictionary spelling	merged from candidate lexicon
busnği	busngi	original dictionary spelling	merged from candidate lexicon
butabutâ	butabuta	original dictionary spelling	merged from candidate lexicon
butacal	butakal	original dictionary spelling	merged from candidate lexicon
buticas	butikas	original dictionary spelling	merged from candidate lexicon
butit	buttit	original dictionary spelling	merged from candidate lexicon
buyâ	buya	original dictionary spelling	merged from candidate lexicon
buyû	buyu	original dictionary spelling	merged from candidate lexicon
búlug	bulug	original dictionary spelling	merged from candidate lexicon
büklat	buklat	original dictionary spelling	merged from candidate lexicon
ca	ka	original dictionary spelling	merged from candidate lexicon
cab-bius	kab-bius	original dictionary spelling	merged from candidate lexicon
cab-bla	kab-bla	original dictionary spelling	merged from candidate lexicon
cab-bling	kab-bling	original dictionary spelling	merged from candidate lexicon
caba	kaba	original dictionary spelling	merged from candidate lexicon
cabag	kabag	original dictionary spelling	merged from candidate lexicon
cabagcabag	kabagkabag	original dictionary spelling	merged from candidate lexicon
cabal	kabal	original dictionary spelling	merged from candidate lexicon
cabaliariza	kabaliariza	original dictionary spelling	merged from candidate lexicon
caballero	kabalyero	original dictionary spelling	merged from candidate lexicon
cabalsan	kabalsan	original dictionary spelling	merged from candidate lexicon
cabambangan	kabambangan	original dictionary spelling	merged from candidate lexicon
cabang	kabang	original dictionary spelling	merged from candidate lexicon
cabang-caba	kabang-kaba	original dictionary spelling	merged from candidate lexicon
cabasa	kabasa	original dictionary spelling	merged from candidate lexicon
cabasî	kabasi	original dictionary spelling	merged from candidate lexicon
cabat	kabat	original dictionary spelling	merged from candidate lexicon
cabaung	kabaung	original dictionary spelling	merged from candidate lexicon
cabayangnan	kabayangnan	original dictionary spelling	merged from candidate lexicon
cabayian	kabayian	original dictionary spelling	merged from candidate lexicon
cabayu	kabayu	original dictionary spelling	merged from candidate lexicon
cabbyo	kabbyo	original dictionary spelling	merged from candidate lexicon
cabcab	kabkab	original dictionary spelling	merged from candidate lexicon
cabe	kabe	original dictionary spelling	merged from candidate lexicon
cabecera	kabesera	original dictionary spelling	merged from candidate lexicon
cabeltun	kabeltun	original dictionary spelling	merged from candidate lexicon
cabeza	kabeza	original dictionary spelling	merged from candidate lexicon
cabezada	kabezada	original dictionary spelling	merged from candidate lexicon
cabibi	kabibi	original dictionary spelling	merged from candidate lexicon
cabicung	kabikung	original dictionary spelling	merged from candidate lexicon
cabid	kabid	original dictionary spelling	merged from candidate lexicon
cabira	kabira	original dictionary spelling	merged from candidate lexicon
cabisada	kabisada	original dictionary spelling	merged from candidate lexicon
cabla	kabla	original dictionary spelling	merged from candidate lexicon
cablas	kablas	original dictionary spelling	merged from candidate lexicon
cabo	kabo	original dictionary spelling	merged from candidate lexicon
cabu	kabu	original dictionary spelling	merged from candidate lexicon
cabud	kabud	original dictionary spelling	merged from candidate lexicon
cabug	kabug	original dictionary spelling	merged from candidate lexicon
cabus	kabus	original dictionary spelling	merged from candidate lexicon
cabuti	kabuti	original dictionary spelling	merged from candidate lexicon
cabuyo	kabuyo	original dictionary spelling	merged from candidate lexicon
cabâ	kaba	original dictionary spelling	merged from candidate lexicon
cacabiling	kakabiling	original dictionary spelling	merged from candidate lexicon
cacac	kakac	original dictionary spelling	merged from candidate lexicon
cacaricuchâ	kakarikucha	original dictionary spelling	merged from candidate lexicon
cacas	kakas	original dictionary spelling	merged from candidate lexicon
cachumba	kachumba	original dictionary spelling	merged from candidate lexicon
